*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V6.1
*Date=16:23:06
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
211;;;16.9016;-16.6404;0;Bottom;Pad126
212;330;THT;82.9416;-7.43297;90;Bottom;R115
213;330;THT;182.002;-51.248;-90;Bottom;R2
214;;;154.062;-14.1004;0;Bottom;Pad24
215;;THT;18.0855;-15.3706;90;Bottom;U16
216;;;138.821;-29.9756;0;Bottom;Via1
217;330;THT;3.88408;-18.228;90;Bottom;R130
218;;;115.962;-44.5804;0;Bottom;Pad60
219;330;THT;151.522;-7.43297;90;Bottom;R103
220;100nF;200 mil [THT, multilayer];52.4616;-29.3405;90;Bottom;C7
221;;;47.4094;-29.8872;0;Bottom;Via13
222;;THT;132.472;-56.0105;90;Bottom;J5
223;;;174.382;-42.0404;0;Bottom;Pad34
224;;;65.1616;-44.5804;0;Bottom;Pad76
225;;THT;178.192;-2.67047;-90;Bottom;J2
226;;THT;86.7516;-56.0105;90;Bottom;J9
227;330;THT;128.662;-7.43297;90;Bottom;R107
228;;;85.4816;-14.1004;0;Bottom;Pad101
229;;;148.982;-14.1004;0;Bottom;Pad18
230;;;4.20166;-56.0105;0;Bottom;Hole7
231;;;14.3616;-42.0404;0;Bottom;Pad95
232;;;37.2216;-44.5804;0;Bottom;Pad86
233;;;67.7016;-14.1004;0;Bottom;Pad107
234;;;148.982;-16.6404;0;Bottom;Pad17
235;100;THT;10.2341;-36.3255;180;Bottom;R64
236;330;THT;184.542;-7.43297;90;Bottom;R97
237;100;THT;89.6091;-22.3555;0;Bottom;R82
238;;;62.6216;-14.1004;0;Bottom;Pad109
239;;;19.4416;-44.5804;0;Bottom;Pad92
240;330;THT;85.4816;-51.248;90;Bottom;R19
241;;;11.8216;-14.1004;0;Bottom;Pad127
242;0.030;5 mm [THT];3.88394;-47.8115;0;Bottom;LED1
243;;;103.262;-16.6404;0;Bottom;Pad1
244;330;THT;49.9216;-51.248;90;Bottom;R25
245;;;110.882;-44.5804;0;Bottom;Pad61
246;330;THT;77.8616;-7.43297;90;Bottom;R116
247;100;THT;94.0541;-36.3255;-4.77083e-15;Bottom;R49
248;;;131.202;-16.6404;0;Bottom;Pad14
249;330;THT;164.222;-51.248;90;Bottom;R5
250;;;19.4416;-42.0404;0;Bottom;Pad96
251;;;60.0816;-42.0404;0;Bottom;Pad79
252;;;47.3816;-42.0404;0;Bottom;Pad83
253;100;THT;152.474;-36.3255;0;Bottom;R39
254;330;THT;126.122;-51.248;90;Bottom;R12
255;;;123.582;-42.0404;0;Bottom;Pad55
256;;;11.8216;-16.6404;0;Bottom;Pad128
257;;;207.356;-26.9487;180;Bottom;ESP32
258;100;THT;21.0291;-22.3555;0;Bottom;R94
259;;;220.102;-56.0105;0;Bottom;Hole6
260;330;THT;11.8216;-51.248;90;Bottom;R32
261;;;211.216;-52.1885;0;Bottom;blkr10
262;;;49.9216;-14.1004;0;Bottom;Pad114
263;330;THT;159.142;-51.248;90;Bottom;R6
264;;THT;40.9456;-15.3706;90;Bottom;U14
265;;;164.222;-14.1004;0;Bottom;Pad23
266;330;THT;179.462;-7.43297;90;Bottom;R98
267;100;THT;162.634;-36.3255;-4.77083e-15;Bottom;R37
268;330;THT;37.2216;-7.43297;90;Bottom;R123
269;;;217.633;-49.8275;90;Bottom;TXT13
270;;THT;109.612;-2.67047;-90;Bottom;J8
271;;;14.3616;-44.5804;0;Bottom;Pad94
272;;;171.842;-16.6404;0;Bottom;Pad25
273;;THT;178.283;-43.2774;-90;Bottom;U1
274;;DIP16 [THT];178.192;-29.3405;90;Bottom;IC1
275;100;THT;84.5291;-22.3555;0;Bottom;R83
276;;;209.042;-28.0183;0;Bottom;Copper Fill33
277;330;THT;100.722;-7.43297;90;Bottom;R112
278;100;THT;43.2541;-36.3255;180;Bottom;R58
279;100;THT;56.5891;-22.3555;0;Bottom;R88
280;;THT;132.385;-15.3706;90;Bottom;U6
281;;;4.09292;-29.3138;0;Bottom;Copper Fill12
282;;THT;155.428;-43.2998;-90;Bottom;U3
283;;;32.1416;-42.0404;0;Bottom;Pad82
284;330;THT;88.0216;-7.43297;90;Bottom;R114
