*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V5.0
*Date=15:35:03
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
154;100;THT;20.806;-22.3216;0;Bottom;R93
155;;;21.7585;-16.6066;0;Bottom;Pad121
156;330;THT;14.1385;-7.3991;90;Bottom;R126
157;;;156.378;-42.0065;0;Bottom;Pad46
158;330;THT;77.6385;-7.3991;90;Bottom;R115
159;100;THT;88.751;-36.2916;-4.77083e-15;Bottom;R49
160;;;42.1063;-29.8534;0;Bottom;Via13
161;;;67.4785;-14.0666;0;Bottom;Pad106
162;100;THT;10.646;-22.3216;0;Bottom;R95
163;330;THT;6.51849;-51.2141;90;Bottom;R32
164;100;THT;65.891;-36.2916;-4.77083e-15;Bottom;R54
165;;THT;58.6745;-43.2766;-90;Bottom;U11
166;330;THT;110.658;-7.3991;90;Bottom;R109
167;;;103.038;-14.0665;0;Bottom;Pad4
168;;;90.3385;-16.6066;0;Bottom;Pad97
169;;;6.51846;-14.0666;0;Bottom;Pad127
170;;;100.498;-42.0065;0;Bottom;Pad58
171;;;57.3185;-14.0666;0;Bottom;Pad109
172;330;THT;171.618;-51.2141;90;Bottom;R3
173;;THT;35.7285;-55.3416;90;Bottom;J13
174;;;11.5985;-14.0666;0;Bottom;Pad125
175;;THT;81.4485;-3.2716;-90;Bottom;J10
176;;;146.218;-42.0065;0;Bottom;Pad42
177;;;52.2385;-14.0666;0;Bottom;Pad111
178;330;THT;118.278;-7.3991;90;Bottom;R108
179;100;THT;170.666;-22.3216;0;Bottom;R67
180;330;THT;26.8385;-7.3991;90;Bottom;R124
181;330;THT;72.5585;-7.3991;90;Bottom;R116
182;100;THT;180.826;-22.3216;0;Bottom;R65
183;330;THT;179.238;-7.3991;90;Bottom;R97
184;;;39.5385;-28.6717;0;Bottom;Via14
185;100;THT;124.311;-36.2916;0;Bottom;R43
186;100;THT;37.951;-36.2916;180;Bottom;R58
187;;THT;104.308;-3.2716;-90;Bottom;J8
188;100;THT;66.526;-22.3216;0;Bottom;R85
189;;THT;58.5885;-55.3416;90;Bottom;J11
190;;DIP16 [THT];35.7285;-29.3066;90;Bottom;IC7
191;330;THT;87.7985;-7.3991;90;Bottom;R113
192;330;THT;80.1785;-51.2141;90;Bottom;R19
193;;;85.2585;-16.6066;0;Bottom;Pad100
194;100;THT;165.586;-22.3216;0;Bottom;R68
195;330;THT;141.138;-7.3991;90;Bottom;R104
196;;;90.3385;-14.0666;0;Bottom;Pad98
197;330;THT;29.3785;-51.2141;90;Bottom;R28
198;;THT;12.9546;-43.2766;-90;Bottom;U15
199;;;108.118;-14.0665;0;Bottom;Pad6
200;;;181.778;-16.289;0;Bottom;Pad29
201;;;169.078;-44.5465;0;Bottom;Pad35
202;100;THT;43.031;-36.2916;-4.77083e-15;Bottom;R57
203;;;136.058;-16.6065;0;Bottom;Pad13
204;;;130.978;-14.0665;0;Bottom;Pad11
205;;THT;172.98;-43.2435;-90;Bottom;U1
206;;;93.0522;-51.2783;0;Top;blkr1
207;;;36.9985;-44.5466;0;Bottom;Pad84
208;100;THT;180.191;-36.2916;0;Bottom;R33
209;100;THT;28.426;-22.3216;0;Bottom;R92
210;330;THT;120.818;-51.2141;90;Bottom;R12
211;330;THT;31.9185;-7.3991;90;Bottom;R123
212;100;THT;79.226;-22.3216;0;Bottom;R83
213;;;19.2184;-29.9417;0;Bottom;Via9
214;;;174.158;-42.0065;0;Bottom;Pad33
215;100;THT;107.166;-22.3216;0;Bottom;R78
216;100;THT;61.446;-22.3216;0;Bottom;R86
217;;;148.758;-14.0665;0;Bottom;Pad24
218;;;59.8585;-44.5466;0;Bottom;Pad76
219;;;148.758;-16.6065;0;Bottom;Pad22
220;;THT;127.255;-43.2766;-90;Bottom;U5
221;;;19.2185;-42.0066;0;Bottom;Pad91
222;;;130.978;-28.6717;0;Bottom;Via2
223;330;THT;125.898;-51.2141;90;Bottom;R11
224;;THT;104.395;-43.2766;-90;Bottom;U7
225;;;14.1385;-42.0066;0;Bottom;Pad96
226;;;146.218;-44.5465;0;Bottom;Pad43
227;;THT;172.888;-3.2716;-90;Bottom;J2
228;;;16.6784;-28.6717;0;Bottom;Via10
229;;THT;127.486;-55.3416;90;Bottom;J5
230;;;72.5585;-42.0066;0;Bottom;Pad66
231;;;141.138;-41.689;0;Bottom;Pad47
232;;;6.51846;-16.6066;0;Bottom;Pad128
233;330;THT;95.4185;-7.3991;90;Bottom;R112
234;;;141.138;-44.229;0;Bottom;Pad48
235;;;113.198;-16.6065;0;Bottom;Pad8
236;100;THT;83.671;-36.2916;180;Bottom;R50
237;;;105.578;-42.0065;0;Bottom;Pad57
238;330;THT;85.2585;-51.2141;90;Bottom;R18
239;;;31.9185;-44.5466;0;Bottom;Pad86
240;;DIP16 [THT];12.8685;-29.3066;90;Bottom;IC8
241;100;THT;38.586;-22.3216;0;Bottom;R90
242;;;143.678;-14.0665;0;Bottom;Pad18
243;;;3.97846;-44.5466;0;Bottom;Pad89
244;100;THT;51.286;-22.3216;0;Bottom;R88
245;330;THT;75.0985;-51.2141;90;Bottom;R20
246;;;100.498;-44.5465;0;Bottom;Pad59
247;;;42.0785;-42.0066;0;Bottom;Pad83
248;;;97.9585;-14.0665;0;Bottom;Pad2
249;100;THT;4.93099;-36.2916;180;Bottom;R64
250;;;77.6385;-44.5466;0;Bottom;Pad70
