*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriverFill-V5.0
*Date=06:58:31
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
200;;;82.8136;-44.5465;0;Bottom;Pad70
201;330;THT;161.554;-7.3991;90;Bottom;R101
202;;;67.5789;-28.6799;0;Bottom;Via15
203;;;123.454;-42.0065;0;Bottom;Pad55
204;;THT;132.258;-15.3367;90;Bottom;U6
205;;;190.298;-29.2796;-90;Bottom;TXT4
206;100;THT;33.6011;-22.3216;0;Bottom;R92
207;;THT;132.43;-43.2766;-90;Bottom;U5
208;100;THT;10.1061;-36.2916;180;Bottom;R64
209;100;THT;83.7661;-36.2916;0;Bottom;R52
210;;;90.4337;-14.0665;0;Bottom;Pad99
211;330;THT;141.234;-51.2141;90;Bottom;R9
212;;;136.154;-14.0665;0;Bottom;Pad11
213;330;THT;70.1136;-7.3991;90;Bottom;R117
214;;;62.4936;-14.0665;0;Bottom;Pad109
215;;;115.834;-42.0065;0;Bottom;Pad62
216;;;141.234;-16.6065;0;Bottom;Pad13
217;;;171.714;-16.6065;0;Bottom;Pad25
218;;;176.794;-16.6065;0;Bottom;Pad30
219;;;72.6536;-16.6065;0;Bottom;Pad105
220;100;THT;152.981;-22.3216;0;Bottom;R71
221;;THT;86.7096;-43.2766;-90;Bottom;U9
222;100;THT;181.239;-22.3216;0;Bottom;R66
223;100;THT;88.8461;-36.2916;180;Bottom;R50
224;;;9.15363;-42.0065;0;Bottom;Pad90
225;;;179.334;-42.0065;0;Bottom;Pad33
226;;;156.474;-42.0065;0;Bottom;Pad41
227;330;THT;82.8136;-7.3991;90;Bottom;R115
228;;;26.9336;-14.0665;0;Bottom;Pad122
229;;;32.0136;-44.5465;0;Bottom;Pad81
230;;;95.5136;-14.0665;0;Bottom;Pad98
231;;;54.8736;-42.0065;0;Bottom;Pad74
232;;DIP16 [THT];18.0436;-29.3066;90;Bottom;IC8
233;;;103.134;-14.0665;0;Bottom;Pad2
234;;THT;177.969;-15.3268;90;Bottom;U2
235;330;THT;19.3136;-7.3991;90;Bottom;R126
236;;;92.9736;-42.0065;0;Bottom;Pad67
237;;DIP16 [THT];109.484;-29.3066;90;Bottom;IC4
238;;THT;17.9576;-15.3367;90;Bottom;U16
239;330;THT;110.754;-7.3991;90;Bottom;R110
240;330;THT;186.954;-51.2141;-90;Bottom;R1
241;;;44.7137;-16.6065;0;Bottom;Pad116
242;330;THT;159.014;-51.2141;90;Bottom;R6
243;;THT;63.6776;-15.3367;90;Bottom;U12
244;;;171.714;-14.0665;0;Bottom;Pad26
245;;;108.214;-16.6065;0;Bottom;Pad3
246;0.030;5 mm [THT];3.75629;-10.8356;180;Bottom;LED2
247;100;THT;102.181;-22.3216;0;Bottom;R80
248;;THT;155.204;-3.2716;-90;Bottom;J4
249;;;105.674;-44.5465;0;Bottom;Pad59
250;100;THT;43.7611;-22.3216;0;Bottom;R90
251;330;THT;133.614;-7.3991;90;Bottom;R106
252;;DIP16 [THT];63.7636;-29.3066;90;Bottom;IC6
253;;;189.72;-44.2739;0;Bottom;TXT10
254;;THT;178.064;-55.3416;90;Bottom;J1
255;330;THT;113.294;-51.2141;90;Bottom;R14
256;330;THT;9.15365;-7.3991;90;Bottom;R128
257;;;189.832;-12.4956;-90;Bottom;TXT5
258;;;49.7936;-14.0665;0;Bottom;Pad114
259;;;16.7736;-14.0665;0;Bottom;Pad125
260;;THT;109.484;-55.3416;90;Bottom;J7
261;;THT;192.034;-29.3066;180;Bottom;I2C
262;100;THT;38.0461;-36.2916;0;Bottom;R59
263;100;THT;48.8411;-22.3216;0;Bottom;R89
264;;;159.014;-14.0665;0;Bottom;Pad19
265;;;37.0936;-44.5465;0;Bottom;Pad86
266;;;131.074;-14.0665;0;Bottom;Pad16
267;;THT;192.034;-44.5466;0;Bottom;12V
268;;;141.234;-14.0665;0;Bottom;Pad15
269;100;THT;186.001;-22.3216;0;Bottom;R65
